Tanggal;ID Transaksi;ID Klien;ID Salesperson;Produk;Kategori Produk;Qty;Harga Satuan (Rp);Total Penjualan (Rp);Status Transaksi;Bulan;Kuartal;Nama PT;Kota;Provinsi;Industri;Status Klien;Status Lead;Pic Klien;No Telp;Email Klien;;Nama Sales;Tim;Jabatan;Status
21/01/2023;TRX-0001;KL-002;SP-001;Jasa Implementasi;Jasa;8;6000000;48000000;Selesai;1;Q1;PT Nusantara Jaya;Jakarta;DKI Jakarta;Konstruksi;Non-Aktif;Warm;Bapak Dodi;8801660785;cs@nusantarajaya.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
19/01/2023;TRX-0002;KL-007;SP-001;Software ERP;Software;3;18000000;54000000;Selesai;1;Q1;PT Delta Solusi;Surabaya;Jawa Timur;Perbankan;Aktif;Cold;Bapak Dodi;8242784194;cs@deltasolusi.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
18/01/2023;TRX-0003;KL-004;SP-006;Cloud Storage 1TB;Layanan Cloud;8;3000000;24000000;Pending;1;Q1;PT Karya Utama;Semarang;Jawa Tengah;Retail;Aktif;Cold;Bapak Dodi;8147842055;cs@karyautama.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
11/02/2023;TRX-0004;KL-005;SP-002;Server Rack;Hardware;11;21000000;231000000;Selesai;2;Q1;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
28/02/2023;TRX-0005;KL-006;SP-005;Jasa Implementasi;Jasa;2;6000000;12000000;Selesai;2;Q1;PT Prima Sejahtera;Makassar;Sulawesi Selatan;Pendidikan;Aktif;Cold;Bapak Dodi;8590518715;cs@primasejahtera.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
18/02/2023;TRX-0006;KL-005;SP-006;Jasa Konsultasi IT;Jasa;19;4000000;76000000;Selesai;2;Q1;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
03/03/2023;TRX-0007;KL-014;SP-002;Software CRM;Software;13;22000000;286000000;Selesai;3;Q1;PT Mega Solusi;Jakarta;DKI Jakarta;Konstruksi;Aktif;Hot;Ibu Sarah;8423372648;cs@megasolusi.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
12/03/2023;TRX-0008;KL-006;SP-002;Jasa Implementasi;Jasa;3;20000000;60000000;Selesai;3;Q1;PT Prima Sejahtera;Makassar;Sulawesi Selatan;Pendidikan;Aktif;Cold;Bapak Dodi;8590518715;cs@primasejahtera.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
15/03/2023;TRX-0009;KL-007;SP-003;Server Rack;Hardware;11;39000000;429000000;Pending;3;Q1;PT Delta Solusi;Surabaya;Jawa Timur;Perbankan;Aktif;Cold;Bapak Dodi;8242784194;cs@deltasolusi.co.id;;Citra Dewi;Tim B;Sales Executive;Aktif
09/04/2023;TRX-0010;KL-002;SP-002;Jasa Konsultasi IT;Jasa;7;15000000;105000000;Selesai;4;Q2;PT Nusantara Jaya;Jakarta;DKI Jakarta;Konstruksi;Non-Aktif;Warm;Bapak Dodi;8801660785;cs@nusantarajaya.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
09/04/2023;TRX-0011;KL-003;SP-002;Jasa Implementasi;Jasa;19;14000000;266000000;Selesai;4;Q2;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
17/04/2023;TRX-0012;KL-008;SP-001;Software ERP;Software;4;14000000;56000000;Dibatalkan;4;Q2;PT Cipta Mandiri;Yogyakarta;DI Yogyakarta;Teknologi;Aktif;Warm;Bapak Hendra;8502914096;cs@ciamandiri.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
03/05/2023;TRX-0013;KL-007;SP-004;VPN Enterprise;Layanan Cloud;17;2000000;34000000;Dibatalkan;5;Q2;PT Delta Solusi;Surabaya;Jawa Timur;Perbankan;Aktif;Cold;Bapak Dodi;8242784194;cs@deltasolusi.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
