ID Transaksi;Tanggal;ID Klien;Nama PT;Kota;Provinsi;Salesperson;Produk;Kategori Produk;Qty;Harga Satuan (Rp);Total Penjualan (Rp);Status Transaksi;Bulan;Kuartal
TRX-0001;21/01/2023;KL-002;PT Nusantara Jaya;Jakarta;DKI Jakarta;Andi Wijaya;Jasa Implementasi;Jasa;8;6000000;48000000;Selesai;1;Q1
TRX-0002;19/01/2023;KL-007;PT Delta Solusi;Surabaya;Jawa Timur;Andi Wijaya;Software ERP;Software;3;18000000;54000000;Selesai;1;Q1
TRX-0003;18/01/2023;KL-004;PT Karya Utama;Semarang;Jawa Tengah;Fitri Handayani;Cloud Storage 1TB;Layanan Cloud;8;3000000;24000000;Pending;1;Q1
TRX-0004;11/02/2023;KL-005;PT Global Teknindo;Medan;Sumatera Utara;Budi Santoso;Server Rack;Hardware;11;21000000;231000000;Selesai;2;Q1
TRX-0005;28/02/2023;KL-006;PT Prima Sejahtera;Makassar;Sulawesi Selatan;Eko Prasetyo;Jasa Implementasi;Jasa;2;6000000;12000000;Selesai;2;Q1
TRX-0006;18/02/2023;KL-005;PT Global Teknindo;Medan;Sumatera Utara;Fitri Handayani;Jasa Konsultasi IT;Jasa;19;4000000;76000000;Selesai;2;Q1
TRX-0007;03/03/2023;KL-014;PT Mega Solusi;Jakarta;DKI Jakarta;Budi Santoso;Software CRM;Software;13;22000000;286000000;Selesai;3;Q1
TRX-0008;12/03/2023;KL-006;PT Prima Sejahtera;Makassar;Sulawesi Selatan;Budi Santoso;Jasa Implementasi;Jasa;3;20000000;60000000;Selesai;3;Q1
TRX-0009;15/03/2023;KL-007;PT Delta Solusi;Surabaya;Jawa Timur;Citra Dewi;Server Rack;Hardware;11;39000000;429000000;Pending;3;Q1
TRX-0010;09/04/2023;KL-002;PT Nusantara Jaya;Jakarta;DKI Jakarta;Budi Santoso;Jasa Konsultasi IT;Jasa;7;15000000;105000000;Selesai;4;Q2
TRX-0011;09/04/2023;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Budi Santoso;Jasa Implementasi;Jasa;19;14000000;266000000;Selesai;4;Q2
TRX-0012;17/04/2023;KL-008;PT Cipta Mandiri;Yogyakarta;DI Yogyakarta;Andi Wijaya;Software ERP;Software;4;14000000;56000000;Dibatalkan;4;Q2
TRX-0013;03/05/2023;KL-007;PT Delta Solusi;Surabaya;Jawa Timur;Dian Pertiwi;VPN Enterprise;Layanan Cloud;17;2000000;34000000;Dibatalkan;5;Q2
TRX-0014;25/05/2023;KL-005;PT Global Teknindo;Medan;Sumatera Utara;Fitri Handayani;Jasa Konsultasi IT;Jasa;4;8000000;32000000;Selesai;5;Q2
TRX-0015;24/05/2023;KL-015;PT Harapan Bangsa;Palembang;Sumatera Selatan;Fitri Handayani;Jasa Implementasi;Jasa;17;6000000;102000000;Dibatalkan;5;Q2
TRX-0016;20/06/2023;KL-004;PT Karya Utama;Semarang;Jawa Tengah;Budi Santoso;Jasa Konsultasi IT;Jasa;6;3000000;18000000;Selesai;6;Q2
TRX-0017;16/06/2023;KL-001;PT Maju Bersama;Surabaya;Jawa Timur;Andi Wijaya;Jasa Konsultasi IT;Jasa;10;10000000;100000000;Selesai;6;Q2
TRX-0018;03/06/2023;KL-012;PT Anugerah Teknik;Surabaya;Jawa Timur;Dian Pertiwi;Software CRM;Software;18;13000000;234000000;Dibatalkan;6;Q2
