ID Klien;Nama PT;Kota;Provinsi;Industri;Status Klien;Status Lead;Pic Klien;No Telp;Email Klien
KL-001;PT Maju Bersama;Surabaya;Jawa Timur;Manufaktur;Non-Aktif;Warm;Bapak Hendra;8115926217;cs@majubersama.co.id
KL-002;PT Nusantara Jaya;Jakarta;DKI Jakarta;Konstruksi;Non-Aktif;Warm;Bapak Dodi;8801660785;cs@nusantarajaya.co.id
KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id
KL-004;PT Karya Utama;Semarang;Jawa Tengah;Retail;Aktif;Cold;Bapak Dodi;8147842055;cs@karyautama.co.id
KL-005;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id
KL-006;PT Prima Sejahtera;Makassar;Sulawesi Selatan;Pendidikan;Aktif;Cold;Bapak Dodi;8590518715;cs@primasejahtera.co.id
KL-007;PT Delta Solusi;Surabaya;Jawa Timur;Perbankan;Aktif;Cold;Bapak Dodi;8242784194;cs@deltasolusi.co.id
KL-008;PT Cipta Mandiri;Yogyakarta;DI Yogyakarta;Teknologi;Aktif;Warm;Bapak Hendra;8502914096;cs@ciamandiri.co.id
KL-009;PT Indo Perkasa;Jakarta;DKI Jakarta;Manufaktur;Prospek;Hot;Ibu Rina;8243851904;cs@indoperkasa.co.id
KL-010;PT Cahaya Baru;Denpasar;Bali;Konstruksi;Aktif;Cold;Bapak Dodi;8928988255;cs@cahayabaru.co.id
KL-011;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Konstruksi;Aktif;Cold;Bapak Hendra;8583852762;cs@mitraabadi.co.id
KL-012;PT Anugerah Teknik;Surabaya;Jawa Timur;Pendidikan;Non-Aktif;Hot;Ibu Yanti;8727651733;cs@anugerahteknik.co.id
KL-013;PT Sumber Rezeki;Bandung;Jawa Barat;Kesehatan;Prospek;Hot;Ibu Rina;8543316015;cs@sumberrezeki.co.id
KL-014;PT Mega Solusi;Jakarta;DKI Jakarta;Konstruksi;Aktif;Hot;Ibu Sarah;8423372648;cs@megasolusi.co.id
KL-015;PT Harapan Bangsa;Palembang;Sumatera Selatan;Retail;Prospek;Hot;Ibu Rina;8512766609;cs@harapanbangsa.co.id
