cluster;totalsuccesspayments
Konseling Instan;197900000
Call 60 Senior;138433600
Vidcall 60 Senior;119626000
Text 60 Senior;92820000
Call 60 Junior;64074400
Call 90 Senior;32850000
Vidcall 60 Junior;24980000
Text 60 Junior;22725000
Vidcall 90 Senior;22087500
Psikolog Riliv;19696000
Text 90 Senior;16541000
Vidcall Pasangan Senior;14622000
Vidcall 90 Junior;6448000
Call 90 Junior;5606400
Text 90 Junior;4520280
Call Pasangan Senior;3375000
Call Pasangan Junior;720000
Vidcall Pasangan Junior;360000
Konseling Instan;147950000
Call 60 Senior;134567200
Vidcall 60 Senior;108102000
Text 60 Senior;92850000
Call 60 Junior;46699200
Call 90 Senior;44009500
Vidcall 60 Junior;38211000
Vidcall 90 Senior;22630000
Text 60 Junior;21623000
Text 90 Senior;18695500
Psikolog Riliv;14943000
Vidcall Pasangan Senior;9186000
Call Pasangan Senior;4500000
Call 90 Junior;4117200
Text 90 Junior;3780800
Vidcall 90 Junior;3038000
